Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]","International tourism, expenditures (% of total imports) [ST.INT.XPND.MP.ZS]","International tourism, expenditures (current US$) [ST.INT.XPND.CD]","International tourism, expenditures for passenger transport items (current US$) [ST.INT.TRNX.CD]","International tourism, expenditures for travel items (current US$) [ST.INT.TVLX.CD]","International tourism, number of arrivals [ST.INT.ARVL]","International tourism, number of departures [ST.INT.DPRT]",Losses due to theft and vandalism (% of annual sales of affected firms) [IC.FRM.CRIM.ZS],Consumer price index (2010 = 100) [FP.CPI.TOTL],Price level ratio of PPP conversion factor (GDP) to market exchange rate [PA.NUS.PPPC.RF]
2020,YR2020,Chile,CHL,"23239,37006","1,083807964",720000000,190000000,530000000,,,,"135,9309826","0,526946242"
2021,YR2021,Chile,CHL,"25821,11385",,,,,,,,"142,0812728","0,567028781"
2019,YR2019,China,CHN,"15977,76383",,,,"2,54621E+11",162538000,154632000,,"125,0831544","0,609162744"
2020,YR2020,China,CHN,"16296,7789",,,,"1,30504E+11",30402000,20334000,,"128,1094436","0,605532557"
2021,YR2021,China,CHN,"17602,69606",,,,,,,,"129,3662166","0,649300917"
2019,YR2019,Colombia,COL,"14571,99095","8,642103259",5658000000,723000000,4935000000,4531000,4479000,,"140,9503739","0,409530858"
2020,YR2020,Colombia,COL,"13400,27194","3,071979835",1576000000,180000000,1396000000,1396000,1275000,,"144,508836","0,357279439"
2021,YR2021,Colombia,COL,"14705,10766",,,,,,,,"149,5596303","0,362927209"
2019,YR2019,Comoros,COM,"3058,980105","15,00312085",53000000,22000000,31000000,"45099,99847",,,,"0,440525902"
2020,YR2020,Comoros,COM,"2984,413403","12,51197193",43000000,12000000,31000000,7000,,,,"0,447100821"
2021,YR2021,Comoros,COM,"2989,638089",,,,,,,,,"0,455086778"
2019,YR2019,"Congo, Democratic Republic of the",COD,"1097,94884",,,,96000000,,,,,"0,521338093"
2020,YR2020,"Congo, Democratic Republic of the",COD,"1082,445242",,,,204000000,,,,,"0,476428135"
2021,YR2021,"Congo, Democratic Republic of the",COD,"1109,388004",,,,,,,,,"0,479259669"
2019,YR2019,"Congo, Republic of the",COG,"3825,70148",,,,,,,,"124,7404961","0,594339649"
2020,YR2020,"Congo, Republic of the",COG,"3497,565454",,,,,,,,"126,9800514","0,514969016"
2021,YR2021,"Congo, Republic of the",COG,"3292,263727",,,,,,,,"129,1585754","0,612099474"
2019,YR2019,Costa Rica,CRI,"20970,54415","6,547209082",1330000000,380000000,950000000,3366000,1153000,,"128,8457433","0,563886918"
2020,YR2020,Costa Rica,CRI,"19937,16874","3,921919092",697000000,397000000,300000000,1146500,324000,,"129,7797609","0,548553977"
2021,YR2021,Costa Rica,CRI,"21260,76233",,,,,,,,"132,0203794","0,53485034"
2019,YR2019,Côte d’Ivoire,CIV,"5212,554021","5,450045985",702000000,228000000,474000000,2070000,,,"111,6069779","0,419017468"
2020,YR2020,Côte d’Ivoire,CIV,"5181,31116","2,488124167",315000000,110000000,205000000,668000,,,"114,3134544","0,425561653"
2021,YR2021,Côte d’Ivoire,CIV,"5406,69134",,,,,,,,"118,991106","0,434151989"
2019,YR2019,Croatia,HRV,"29336,08545","5,698113072",1811000000,47000000,1764000000,60021000,3500000,"1,4","109,8156764","0,501303042"
2020,YR2020,Croatia,HRV,"27076,9791","2,821934231","789687194,8",14000000,"775687194,8",21608000,678000,,"109,9856836","0,491046943"
2021,YR2021,Croatia,HRV,"31046,62757",,,,,,,,"112,7952756","0,514747991"
2019,YR2019,Cuba,CUB,,,,,,4276000,650000,,,
2020,YR2020,Cuba,CUB,,,,,,1086000,271000,,,
2021,YR2021,Cuba,CUB,,,,,,,,,,
2019,YR2019,Curacao,CUW,"23659,23434","17,63377769",411000000,70000000,341000000,1293000,,,"115,5332021","0,771528931"
2020,YR2020,Curacao,CUW,"19607,43191","7,427521208",127000000,25000000,102000000,,,,,"0,778959965"
2021,YR2021,Curacao,CUW,,,,,,,,,,
2019,YR2019,Cyprus,CYP,"41521,92188","8,220925305",1596000000,,1596000000,4117000,1578000,"6,2","102,5109919","0,689816945"
2020,YR2020,Cyprus,CYP,"39007,71484","4,549907899",880000000,,880000000,,,,"101,8565384","0,699145558"
2021,YR2021,Cyprus,CYP,"40791,42578",,,,,,,,"104,3480396","0,723714562"
2019,YR2019,Czech Republic,CZE,"40981,05651","3,519821391",6034000000,145000000,5889000000,37202000,7346000,"0,9","116,475542","0,552200765"
2020,YR2020,Czech Republic,CZE,"38511,26898","2,238538356",3495000000,65000000,3430000000,,2399000,,"120,1576778","0,551179716"
2021,YR2021,Czech Republic,CZE,"39777,78924",,,,,,,,"124,7715463","0,595978073"
2019,YR2019,Denmark,DNK,"57161,68639",,,,10037000000,33093000,9088000,,"110,3472904","1,018309073"
2020,YR2020,Denmark,DNK,"55819,90953",,,,5636000000,15595000,4230000,"0,6","110,8115347","1,013837005"
2021,YR2021,Denmark,DNK,"58187,04122",,,,,,,,"112,8649228","1,048751297"
2019,YR2019,Djibouti,DJI,"5260,015344",,,,25000000,,,,"120,2509224","0,578756596"
2020,YR2020,Djibouti,DJI,"5245,413878",,,,"14899999,62",,,,"122,3882717","0,581942186"
2021,YR2021,Djibouti,DJI,"5393,976153",,,,,,,,,"0,567638921"
2019,YR2019,Dominica,DMA,"12329,82527","7,478152098",31000000,9000000,22000000,322000,,,"105,4324753","0,662735188"
2020,YR2020,Dominica,DMA,"10256,33082","3,22895215",9000000,3000000,6000000,140000,,,"104,6658585","0,647424928"
2021,YR2021,Dominica,DMA,"10899,25567",,,,,,,,"105,2071611","0,631372844"
2019,YR2019,Dominican Republic,DOM,"18412,89999","4,321944059",1060000000,436000000,624000000,7550000,532000,,"132,1722349","0,431584851"
2020,YR2020,Dominican Republic,DOM,"17003,01302","2,186987425",444000000,230000000,214000000,2748000,210000,,"137,1697091","0,405270357"
2021,YR2021,Dominican Republic,DOM,"18905,22039",,,,,,,,"148,476613","0,414257547"
2019,YR2019,Ecuador,ECU,"11370,6033","6,372604458",1650000000,434000000,1216000000,2108000,1515000,,"124,1426747","0,525085634"
2020,YR2020,Ecuador,ECU,"10325,00171","2,681473956",533000000,125000000,408000000,,,,"123,7219895","0,516761828"
2021,YR2021,Ecuador,ECU,"10614,64238",,,,,,,,"123,8868507","0,508942388"
2019,YR2019,Egypt,EGY,"11763,25328","4,709261971",3718000000,200000000,3518000000,13026000,,,"288,5727744","0,246261181"
2020,YR2020,Egypt,EGY,"11951,44753","3,556725495",2578000000,69000000,2509000000,,,"3,6","303,1310772","0,283136103"
2021,YR2021,Egypt,EGY,"12121,15916",,,,,,,,"319,9419501","0,291100051"
2019,YR2019,El Salvador,SLV,"8776,119516","4,042154961",504000000,33000000,471000000,2639000,1899000,,"111,2283523","0,455663418"
2020,YR2020,El Salvador,SLV,"7982,626119","1,505016349",162000000,20000000,142000000,707000,515000,,"110,8150386","0,451155226"
2021,YR2021,El Salvador,SLV,"8800,993225",,,,,,,,"114,6569139","0,455956637"
2019,YR2019,Equatorial Guinea,GNQ,"18600,39178",,,,,,,,"124,3467228","0,432322016"
2020,YR2020,Equatorial Guinea,GNQ,"17214,73818",,,,,,,,"130,2776946","0,396438412"
2021,YR2021,Equatorial Guinea,GNQ,"16500,33569",,,,,,,,,"0,466828448"
2019,YR2019,Eritrea,ERI,,,,,,,,,,
2020,YR2020,Eritrea,ERI,,,,,,,,,,
2021,YR2021,Eritrea,ERI,,,,,,,,,,
2019,YR2019,Estonia,EST,"36401,10885","8,334319897",1808000000,263000000,1545000000,6103000,1702000,"1,1","122,1423128","0,618152554"
2020,YR2020,Estonia,EST,"35257,16203","3,104565879",676000000,82000000,594000000,1695000,558000,,"121,5993523","0,612411288"
2021,YR2021,Estonia,EST,"38207,40861",,,,,,,,"127,2575729","0,646591117"
2019,YR2019,Eswatini,SWZ,"8652,922717","1,713062952",33000000,1000000,32000000,1226000,1721000,,"166,8218664","0,431337468"
2020,YR2020,Eswatini,SWZ,"8404,727199","2,146950013","36400001,53","400000,006",36000000,"345299,9878",488000,,,"0,387446718"
2021,YR2021,Eswatini,SWZ,"8934,877868",,,,,,,,,"0,4293951"
2019,YR2019,Ethiopia,ETH,"2221,404665","3,437835179",661000000,,661000000,812000,,,"322,5198479","0,36963388"
2020,YR2020,Ethiopia,ETH,"2296,89044","1,878311911",322500000,500000,322000000,518000,,,"388,1731068","0,386534896"
2021,YR2021,Ethiopia,ETH,"2366,419051",,,,,,,,"492,3569139","0,36310057"
2019,YR2019,Faroe Islands,FRO,,,,,,,,,,
2020,YR2020,Faroe Islands,FRO,,,,,,,,,,
2021,YR2021,Faroe Islands,FRO,,,,,,,,,,
2019,YR2019,Fiji,FJI,"13684,29169","5,427160959",174000000,9000000,165000000,969000,174000,,"132,2972456","0,43303629"
2020,YR2020,Fiji,FJI,"11526,96229","3,894708972",77000000,2000000,75000000,168000,,,"128,8638103","0,419702403"
2021,YR2021,Fiji,FJI,"10977,45293",,,,,,,,"129,0646519","0,421730226"
2019,YR2019,Finland,FIN,"48582,58759","6,413612406",6841000000,1163000000,5678000000,3290000,10440000,,"112,3317121","0,966358384"
2020,YR2020,Finland,FIN,"47397,41835","2,010361153",1940000000,294000000,1646000000,896000,2690000,"0,7","112,658097","0,965127157"
2021,YR2021,Finland,FIN,"48936,7094",,,,,,,,"115,1304627","0,981383503"
2019,YR2019,France,FRA,"46017,76596","6,500920232",59751000000,9244000000,50507000000,217877000,49276000,,"110,0485668","0,8269144"
2020,YR2020,France,FRA,"42320,52414","3,859699498",31193000000,3435000000,27758000000,117109000,21287000,,"110,5729469","0,830732936"
2021,YR2021,France,FRA,"45187,44629",,,,,,,,"112,3889211","0,85786875"
2019,YR2019,French Polynesia,PYF,,,,,,300000,63000,,,
2020,YR2020,French Polynesia,PYF,,,,,,"89400,00153",12000,,,
2021,YR2021,French Polynesia,PYF,,,,,,,,,,
2019,YR2019,Gabon,GAB,"14945,85929",,,,,,,,"122,6279263","0,498630961"
2020,YR2020,Gabon,GAB,"14320,84465",,,,,,,,"124,0710261","0,455587755"
2021,YR2021,Gabon,GAB,"14197,6988",,,,,,,,,"0,513991323"
2019,YR2019,"Gambia, The",GMB,"2226,343905","1,561162499",10000000,"699999,9881","9300000,191",620000,,,"172,7304356","0,332932657"
2020,YR2020,"Gambia, The",GMB,"2158,442317","0,752554888","5199999,809","200000,003",5000000,246000,,,"182,9755551","0,332687447"
2021,YR2021,"Gambia, The",GMB,"2215,464634",,,,,,,,"196,4614895","0,343315244"
2019,YR2019,Georgia,GEO,"14989,25816","10,12123755",1124000000,467000000,657000000,7726000,3780000,"1,3","133,6124667","0,300613786"
2020,YR2020,Georgia,GEO,"13966,32634","3,256229415",292000000,112000000,180000000,1513000,,,"140,5636083","0,288893153"
2021,YR2021,Georgia,GEO,"15471,71501",,,,,,,,"154,0112083","0,296660666"
2019,YR2019,Germany,DEU,"53929,63929","6,347306837","1,01231E+11",8134000000,93097000000,39563000,99533000,,"112,8548873","0,840835065"
2020,YR2020,Germany,DEU,"51423,23504",,,,38752000000,12449000,,,"113,4267116","0,843341639"
2021,YR2021,Germany,DEU,"52930,80887",,,,,,,,"116,9916788","0,876987747"
2019,YR2019,Ghana,GHA,"5540,045627","5,128536981",1380000000,1052000000,328000000,,,,"278,4517371","0,389102818"
2020,YR2020,Ghana,GHA,"5451,121442","3,85408716",946000000,841000000,105000000,,,,"305,9830666","0,39205026"
2021,YR2021,Ghana,GHA,"5623,80586",,,,,,,,"336,4929095","0,395787945"
2019,YR2019,Gibraltar,GIB,,,,,,,,,,
2020,YR2020,Gibraltar,GIB,,,,,,,,,,
2021,YR2021,Gibraltar,GIB,,,,,,,,,,
2019,YR2019,Greece,GRC,"29698,03048","5,061777678",4211000000,1141000000,3070000000,34005000,7848000,,"101,9494141","0,630306689"
2020,YR2020,Greece,GRC,"27072,61865","2,090349559",1500000000,602000000,898000000,7406000,2324000,,"100,6771022","0,631416289"
2021,YR2021,Greece,GRC,"29428,39302",,,,,,,,"101,9092137","0,647913421"
2019,YR2019,Greenland,GRL,,,,,,,,,,
2020,YR2020,Greenland,GRL,,,,,,,,,,
2021,YR2021,Greenland,GRL,,,,,,,,,,
2019,YR2019,Grenada,GRD,"16867,57213","6,600261985",48000000,24000000,24000000,526000,,,"108,0688315","0,616315575"
2020,YR2020,Grenada,GRD,"14480,5067","2,04275742",12000000,7000000,5000000,217000,,,"107,2683304","0,60714144"
2021,YR2021,Grenada,GRD,"15183,40689",,,,,,,,"108,5764805","0,595226299"
2019,YR2019,Guam,GUM,,,,,,1667000,,,,
2020,YR2020,Guam,GUM,,,,,,328000,,,,
2021,YR2021,Guam,GUM,,,,,,,,,,
2019,YR2019,Guatemala,GTM,"8653,308195","5,240039046",1128000000,314000000,814000000,2560000,1703000,,"142,9213949","0,514345615"
